page,productranking,price,name,rating,numofratings,prime,bestseller,amazonchoice
1,1,$59.99,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",4.3 out of 5 stars,"13,669",1,1,0
1,2,$34.99,"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode PC/Cell Phones/TV",4.4 out of 5 stars,"24,425",1,0,0
1,3,$12.99,"On Ear Headphones with Mic, Vogek Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",4.5 out of 5 stars,"1,220",1,0,1
1,4,$19.98,"LETSCOM Bluetooth Headphones IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds w/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play Time",4.3 out of 5 stars,"12,307",1,0,0
1,5,$229.00,Bose SoundLink Around Ear Wireless Headphones II - Black,4.3 out of 5 stars,"2,402",1,0,0
1,6,$15.92,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",4.8 out of 5 stars,829,1,0,0
1,7,$32.99,"OneOdio Adapter-Free Closed Back Over-Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",4.3 out of 5 stars,"2,089",1,0,0
1,8,$8.99,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",4.0 out of 5 stars,557,1,0,0
1,9,$21.99,Stywvoe Bluetooth Headphones Wireless Earbuds Earphones in-Ear for Sport Bluetooth 5.0 Earphones Stereo Sound Noise Cancelling 2 Built-in Mic Earphones Compatible with iPhone Apple Airpod-White,4.5 out of 5 stars,21,1,0,0
1,10,$16.99,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),4.3 out of 5 stars,"2,327",1,1,0
1,11,$149.99,Beats Solo3 Wireless On-Ear Headphones - Matte Black,4.1 out of 5 stars,"4,522",1,0,0
1,12,$7.87,"Yanliu Earphones/Earbuds/Headphones, Premium in-Ear Wired Earphones with Remote & Mic Compatible Phone 6S/Plus/6/5S/SE/5C/Pad/Samsung/MP3 MP4",4.9 out of 5 stars,30,1,0,0
1,13,$7.99,"Headphones, in-Ear Earbuds Noise Isolation Headsets Heavy Bass Earphones with Microphone Compatible iPhone Samsung iPad and Most Android Phones,W5",5.0 out of 5 stars,13,1,0,0
1,14,$348.00,Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,4.4 out of 5 stars,"2,179",1,0,0
1,15,$7.93,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-KA (Matte Black) Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit",4.1 out of 5 stars,"59,594",1,0,0
2,16,$8.88,Headphones/Earphones/Earbuds/Headsets 3.5mm Wired Headphones Noise Isolating Earphones with Built-in Microphone & Volume Control Compatible with iPhone 6 SE 5S 4 iPod iPad/Android MP3/4 (White) 2Pack,4.8 out of 5 stars,84,1,0,0
2,17,$21.99,Stywvoe Bluetooth Headphones Wireless Earbuds Earphones in-Ear for Sport Bluetooth 5.0 Earphones Stereo Sound Noise Cancelling 2 Built-in Mic Earphones Compatible with iPhone Apple Airpod-White,4.1 out of 5 stars,28,1,0,0
2,18,$16.99,Panasonic Headphones RP-HT161-K Full-Sized Over-the-Ear Lightweight Long-Corded (Black),4.0 out of 5 stars,"5,957",1,0,0
2,19,$23.00,Apple EarPods with Lightning Connector - White,4.1 out of 5 stars,"2,265",1,0,0
2,20,$19.99,Bluetooth Headphones Wireless Earbuds Earphones in-Ear for Sport Bluetooth 5.0 Earphones Stereo Sound Noise Cancelling 2 Built-in Mic Earphones Compatible with iPhone Apple Airpod-Frosted Black107,4.2 out of 5 stars,38,1,0,0
