category,price,name,rating,numofratings
Full,$14.99,"On Ear Headphones with Mic, Vogek Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",4.4 out of 5 stars,406
Full,$10.19,Elecder i39 Headphones with Microphone Foldable Lightweight Adjustable On Ear Headsets with 3.5mm Jack for iPad Cellphones Computer MP3/4 Kindle Airplane School Red/Black,4.3 out of 5 stars,464
Full,$8.34,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",4.1 out of 5 stars,"58,188"
Full,$59.99,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30H Playtime for Travel Work TV PC Cellphone - Black",4.3 out of 5 stars,"11,182"
Full,$34.99,"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode PC/Cell Phones/TV",4.4 out of 5 stars,"22,807"
Full,$19.98,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint),4.0 out of 5 stars,"4,570"
Full,$20.98,Apple EarPods with Lightning Connector - White,4.0 out of 5 stars,"1,512"
Full,$15.29,Panasonic Headphones RP-HT161-K Full-Sized Over-the-Ear Lightweight Long-Corded (Black),4.0 out of 5 stars,"5,717"
Full,$32.99,"OneOdio Adapter-Free Closed Back Over-Ear DJ Stereo Monitor Headphones, Professional Studio Monitor & Mixing, Telescopic Arms with Scale, Newest 50mm Neodymium Drivers - Black",4.3 out of 5 stars,"1,806"
Full,$11.99,Elecder i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible iPad Cellphones Computer MP3/4 Kindle Airplane School Tablet Purple/Green,4.5 out of 5 stars,"1,201"
Full,$19.98,"LETSCOM Bluetooth Headphones IPX7 Waterproof, Wireless Sport Earphones Bluetooth 4.1, HiFi Bass Stereo Sweatproof Earbuds w/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play Time",4.3 out of 5 stars,"5,951"
Full,$8.99,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",3.8 out of 5 stars,412
Full,$0.00,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),4.0 out of 5 stars,"4,847"
Full,$19.99,"Mpow Flame Bluetooth Headphones Waterproof IPX7, Wireless Earbuds Sport, Richer Bass HiFi Stereo in-Ear Earphones w/Case, 7-9 Hrs Playback, Noise Cancelling Microphone (Comfy & Fast Pairing), Red",4.2 out of 5 stars,"15,311"
Full,$349.00,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",4.4 out of 5 stars,"3,034"
